track_name,artist_name,COMB,artist_pop,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
Middle,DJ Snake,MiddleDJ Snake,77,75,0.583,0.695,-5.336,1,9,0.0423,0.0141,0,0.0527,0.224,104.879,4,220573
Pepas,Farruko,PepasFarruko,84,87,0.762,0.766,-3.955,1,7,0.0343,0.00776,6.98E-05,0.128,0.442,130.001,4,287120
idfc,blackbear,idfcblackbear,80,75,0.63,0.5,-8.755,0,1,0.0611,0.611,4.04E-05,0.114,0.315,144.871,4,245172
positions,Ariana Grande,positionsAriana Grande,87,85,0.737,0.802,-4.771,1,0,0.0878,0.468,0,0.0931,0.682,144.015,4,172325
Eenie Meenie,Sean Kingston,Eenie MeenieSean Kingston,69,74,0.72,0.607,-4.168,1,1,0.0322,0.0543,0,0.113,0.828,121.223,4,201947
What A Shame,Leyla Blue,What A ShameLeyla Blue,57,74,0.699,0.463,-7.828,1,0,0.475,0.315,0,0.0803,0.565,143.99,4,177200
Maniac,Conan Gray,ManiacConan Gray,81,81,0.628,0.639,-5.46,1,8,0.0435,0.00162,0,0.354,0.493,108.045,4,185773
Fashion Week,cry,Fashion Weekcry,0,0,0.717,0.846,-3.182,0,1,0.0329,0.00401,0.0913,0.05,0.713,136.961,4,155365
Hold On,Justin Bieber,Hold OnJustin Bieber,90,78,0.658,0.634,-6.068,0,1,0.0431,0.0104,0,0.12,0.302,140.002,4,170813
Somebody To You,The Vamps,Somebody To YouThe Vamps,69,76,0.526,0.818,-5.952,1,3,0.0358,0.0587,0,0.333,0.896,171.96,4,185098
Shouldn't Be,Luke Chiang,Shouldn't BeLuke Chiang,59,73,0.651,0.291,-10.009,1,4,0.0326,0.738,0,0.115,0.302,124.898,3,210436
Give Love,AKMU,Give LoveAKMU,57,61,0.793,0.706,-4.536,1,5,0.0695,0.332,0,0.0752,0.839,95.992,4,176532
PYRO,Chester Young,PYROChester Young,44,60,0.718,0.977,-1.824,1,1,0.0668,0.143,0.0318,0.374,0.259,125.983,4,148364
Maps,Maroon 5,MapsMaroon 5,85,68,0.742,0.713,-5.522,0,1,0.0303,0.0205,0,0.059,0.879,120.032,4,189960
Wildest Dreams,Taylor Swift,Wildest DreamsTaylor Swift,93,78,0.553,0.664,-7.417,1,8,0.0741,0.0709,0.0056,0.106,0.467,140.06,4,220440
Baby I Got Issues,U/NITISH,Baby I Got IssuesU/NITISH,46,63,0.734,0.495,-8.228,0,2,0.24,0.548,0,0.121,0.539,150.044,4,164955
Motive X - Promiscuous Mix,Khlaw,Motive X - Promiscuous MixKhlaw,49,4,0.786,0.764,-12.556,1,0,0.0478,0.00584,1.32E-05,0.376,0.789,112.005,4,193190
"No Guidance, Remake",Litfranse,"No Guidance, RemakeLitfranse",12,28,0.697,0.505,-7.595,0,1,0.121,0.121,0,0.254,0.172,93.022,4,216790
Way Back Home,SHAUN,Way Back HomeSHAUN,60,71,0.745,0.739,-4.591,1,10,0.0327,0.405,0.000183,0.127,0.556,99.913,4,214137
